"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 부평구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"93","인천광역시 부평구 부개동","525","0525","0000","부개역코오롱하늘채","31.9340","202312","19","23,900","106","4","-","-","2021","부평문화로 216","-","중개거래","인천 부평구","24.01.29"
"94","인천광역시 부평구 부평동","431-15","0431","0015","헤리움노블레스","16.7600","202312","19","7,900","-","7","-","-","2014","부평대로 132","-","중개거래","인천 부평구","23.12.27"
"95","인천광역시 부평구 일신동","410","0410","0000","일신주공아파트(100~112동)","39.9900","202312","19","16,700","106","14","-","-","1995","항동로75번길 11","-","중개거래","인천 부평구","24.02.05"
"96","인천광역시 부평구 청천동","176","0176","0000","청천푸르지오","133.7100","202312","19","47,700","제104","10","-","-","1998","세월천로 16","-","중개거래","인천 부평구","24.03.08"
"97","인천광역시 부평구 부평동","182-56","0182","0056","세르누비앙","33.6400","202312","19","12,600","-","10","-","-","2014","광장로24번길 53","-","직거래","-","23.12.20"
"98","인천광역시 부평구 십정동","630","0630","0000","더샵부평센트럴시티","59.8032","202312","19","44,500","119","23","-","-","2022","열우물로 90","-","중개거래","인천 부평구","24.01.24"
"99","인천광역시 부평구 삼산동","390-6","0390","0006","삼산주공미래타운3차","59.4100","202312","18","28,000","308","17","-","-","2000","부평북로 463","-","직거래","-","24.02.20"
"100","인천광역시 부평구 부평동","70-123","0070","0123","동아(2차)","59.8200","202312","18","35,500","36","4","-","-","1995","부흥로 246","-","중개거래","인천 부평구","24.03.08"
"101","인천광역시 부평구 십정동","482-23","0482","0023","대명노블리안","41.3675","202312","18","12,500","-","10","-","-","2016","동암남로34번길 18-3","-","중개거래","인천 부평구","24.01.24"
"102","인천광역시 부평구 부평동","947","0947","0000","래미안부평","59.9230","202312","18","45,000","105","23","-","-","2014","길주남로10번길 21","-","중개거래","인천 부평구","24.03.05"
"103","인천광역시 부평구 청천동","5-5","0005","0005","영진","59.7700","202312","18","16,800","-","9","-","-","1995","청중로 81","-","중개거래","인천 부평구","24.02.05"
"104","인천광역시 부평구 청천동","176","0176","0000","청천푸르지오","84.3400","202312","18","34,400","제102","12","-","-","1998","세월천로 16","-","중개거래","인천 부평구","24.02.29"
"105","인천광역시 부평구 일신동","409","0409","0000","풍림아파트(101동~110동)","84.9770","202312","18","36,500","106","15","-","-","1995","일신로14번길 23","-","중개거래","인천 부평구","24.01.25"
"106","인천광역시 부평구 산곡동","311-126","0311","0126","현대2차","72.5400","202312","18","28,500","209","15","-","-","1989","안남로 91","-","중개거래","인천 부평구","23.12.27"
"107","인천광역시 부평구 부개동","95-2","0095","0002","백조(바)","55.2600","202312","18","24,000","바","2","-","-","1983","충선로 77","-","중개거래","인천 부평구","24.01.12"
"108","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","59.9900","202312","18","42,000","109","7","-","-","2005","굴포로 105","-","중개거래","인천 부평구","24.02.15"
"109","인천광역시 부평구 십정동","482-23","0482","0023","대명노블리안","41.3675","202312","18","12,500","-","10","-","-","2016","동암남로34번길 18-3","20240124","중개거래","인천 부평구","-"
"110","인천광역시 부평구 삼산동","440-1","0440","0001","삼산타운주공1단지","51.8600","202312","17","34,500","103","5","-","-","2005","굴포로 105","-","중개거래","인천 부평구","24.02.15"
"111","인천광역시 부평구 갈산동","171","0171","0000","부평지웰에스테이트","59.9900","202312","17","36,500","102동","7","-","-","2021","주부토로249번길 17","-","중개거래","인천 부평구","24.01.19"
"112","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","66.3137","202312","16","39,300","102동","17","-","-","2021","상정로 41","-","중개거래","인천 부평구","24.02.16"
"113","인천광역시 부평구 갈산동","369","0369","0000","한국1,동아,팬더","59.8500","202312","16","26,500","제2","9","-","-","1993","갈월동로 34","-","중개거래","인천 부평구","24.02.23"
"114","인천광역시 부평구 십정동","629","0629","0000","서희스타힐스부평센트럴","66.3137","202312","16","39,800","105동","21","-","-","2021","상정로 41","-","중개거래","인천 부평구","24.01.30"
"115","인천광역시 부평구 부개동","500-1","0500","0001","주공5","59.9900","202312","16","33,000","504","16","-","-","1998","부개로 11","-","중개거래","인천 부평구","24.03.18"
"116","인천광역시 부평구 삼산동","387-2","0387","0002","삼산주공미래타운1차","59.3900","202312","16","26,500","105","15","-","-","2000","부평북로 431","-","중개거래","인천 부평구","24.01.26"
"117","인천광역시 부평구 삼산동","359-2","0359","0002","광명13차","47.2600","202312","16","12,000","1","6","-","-","1990","후정동로 68","-","중개거래","인천 부평구","24.01.18"
"118","인천광역시 부평구 삼산동","513","0513","0000","서해그랑블","84.9800","202312","16","51,000","201","16","-","-","2011","영성동로18번길 20","-","중개거래","인천 부평구","24.02.26"
"119","인천광역시 부평구 삼산동","445-5","0445","0005","삼산타운2단지","84.9800","202312","16","49,500","204","22","-","-","2005","수변로 333","-","중개거래","인천 부평구","24.02.15"
"120","인천광역시 부평구 청천동","200","0200","0000","부평1,2차금호타운","59.8050","202312","16","29,000","205","21","-","-","1998","안남로 272","-","중개거래","인천 부평구","24.02.07"
"121","인천광역시 부평구 산곡동","124-23","0124","0023","한화2단지","134.7900","202312","15","48,000","207","3","-","-","1999","원적로 361","-","중개거래","인천 부평구","24.01.04"
"122","인천광역시 부평구 부평동","65-7","0065","0007","욱일","84.1600","202312","15","27,000","3","13","-","-","1990","부흥로243번길 39","-","중개거래","인천 부평구","24.02.23"
"123","인천광역시 부평구 갈산동","159","0159","0000","대우","59.9300","202312","15","29,500","105","2","-","-","2001","평천로305번길 15","-","중개거래","인천 부평구","24.04.11"
"124","인천광역시 부평구 산곡동","91-2","0091","0002","부평IPARK","69.2800","202312","15","52,000","102","8","-","-","2020","길주로364번길 9","-","중개거래","-","24.01.30"
"125","인천광역시 부평구 삼산동","389-8","0389","0008","삼산주공미래타운4차","59.3900","202312","14","27,000","402","20","-","-","2000","영성중로 57","-","직거래","-","24.01.10"
"126","인천광역시 부평구 부개동","498-5","0498","0005","부개주공3","49.9600","202312","14","23,500","304","9","-","-","1996","길주남로 144","-","중개거래","인천 부평구","24.01.22"
"127","인천광역시 부평구 갈산동","362","0362","0000","하나","84.7500","202312","14","33,500","101","5","-","-","1992","갈월서로 45","-","중개거래","인천 부평구","24.04.12"
